title,journal,date,doi,first_author,pdf_url,collections
A Disproof of Large Language Model Consciousness: The Necessity of Continual Learning for Consciousness,arXiv,2026-01-19,10.48550/arXiv.2512.12802,Erik Hoel,https://arxiv.org/pdf/2512.12802.pdf,"AGI | Continual Learning | LLMs, NLP"
Embedded Universal Predictive Intelligence: a coherent framework for multi-agent learning,arXiv,2025-11-27,10.48550/arXiv.2511.22226,Alexander Meulemans,https://arxiv.org/pdf/2511.22226.pdf,Agentic AI | AGI | DeepMind | Google | CIFAR | Mila | Santa Fé Institute
Learning Abstract World Models with a Group-Structured Latent Space,arXiv,2025-06-02,10.48550/arXiv.2506.01529,Thomas Delliaux,https://arxiv.org/pdf/2506.01529.pdf,Geometric Deep Learning | AGI | Microsoft
A Definition of AGI,arXiv,2025-12-03,10.48550/arXiv.2510.18212,Dan Hendrycks,https://arxiv.org/pdf/2510.18212.pdf,"AGI | Morph Labs | MIT | Vector Institute | Bengio, Yoshua"
Equitable Federated Learning with NCA,MICCAI 2025,2025-06-26,10.48550/arXiv.2506.21735,Nick Lemke,https://arxiv.org/pdf/2506.21735.pdf,"Cellular Automata | Federated Learning | TUDA | Mukhopadhyay, Anirban"
"Federated learning, ethics, and the double black box problem in medical AI",arXiv,2025-04-29,10.48550/arXiv.2504.20656,Joshua Hatherley,https://arxiv.org/pdf/2504.20656.pdf,Ethical Challenges | Federated Learning
Federated Stain Normalization for Computational Pathology,MICCAI 2022,2022,,Nicolas Wagner,https://arxiv.org/pdf/2209.14849.pdf,"GANs | Federated Learning | Image Processing | Stain Separation, Calibration, Normalization | TUDA | Mukhopadhyay, Anirban | Tolkach, Yuri"
SurvDiff: A Diffusion Model for Generating Synthetic Data in Survival Analysis,,2025-09-26,10.48550/arXiv.2509.22352,Marie Brockschmidt,https://arxiv.org/pdf/2509.22352.pdf,"Survival Analysis | MCML | Feuerriegel, Stefan | SurvDiff"
"EPIC-Survival: End-to-end Part Inferred Clustering for Survival Analysis, Featuring Prognostic Stratification Boosting",arXiv,2021-07-09,10.48550/arXiv.2101.11085,Hassan Muhammad,https://arxiv.org/pdf/2101.11085.pdf,"AI-driven Biomarkers | Full Workflows | Survival Analysis | HPI | Fuchs, Thomas"
"A Survey on Computational Pathology Foundation Models: Datasets, Adaptation Strategies, and Evaluation Tasks",arXiv,2025-02-26,10.48550/arXiv.2501.15724,Dong Li,https://arxiv.org/pdf/2501.15724.pdf,"Foundation Models | Reviews | Sorger, Peter"
Multi-modal digital pathology for colorectal cancer diagnosis by high-plex immunofluorescence imaging and traditional histology of the same tissue section,bioRxiv,2023-02-21,10.1101/2022.09.28.509927,Jia-Ren Lin,https://www.biorxiv.org/content/10.1101/2022.09.28.509927.full.pdf,"CRC | mIF | Multimodality | Full Workflows | Sorger, Peter"
Morphology-Aware Profiling of Highly Multiplexed Tissue Images using Variational Autoencoders,bioRxiv,2025-12-08,10.1101/2025.06.23.661064,Gregory J. Baker,https://www.biorxiv.org/content/10.1101/2025.06.23.661064.full.pdf,"mIF | Spatialomics | Sorger, Peter"
Global graph features unveiled by unsupervised geometric deep learning,arXiv,2025-08-07,10.48550/arXiv.2503.05560,Mirja Granfors,https://arxiv.org/pdf/2503.05560.pdf,"Geometric Deep Learning | GNNs | Graph-based | Self-supervised | SciLifeLab | Pereira, Joana | Volpe, Giovanni"
Timely Clinical Diagnosis through Active Test Selection,NeurIPS 2025,2025-11-16,10.48550/arXiv.2510.18988,Silas Ruhrberg Estévez,https://arxiv.org/pdf/2510.18988.pdf,"LLMs, NLP | van der Schaar, Mihaela"
Hypothesis Hunting with Evolving Networks of Autonomous Scientific Agents,arXiv,2025-10-08,10.48550/arXiv.2510.08619,Tennison Liu,https://arxiv.org/pdf/2510.08619.pdf,"Reasoning, Hypothesis Generation | van der Schaar, Mihaela"
Deep Hierarchical Learning with Nested Subspace Networks,arXiv,2025-09-22,10.48550/arXiv.2509.17874,Paulius Rauba,https://arxiv.org/pdf/2509.17874.pdf,"LLMs, NLP | van der Schaar, Mihaela"
Attention Is All You Need,arXiv,2023-08-02,10.48550/arXiv.1706.03762,Ashish Vaswani,https://arxiv.org/pdf/1706.03762.pdf,Transformers | Google
Training data-efficient image transformers & distillation through attention,ICML 2020,2021-01-15,10.48550/arXiv.2012.12877,Hugo Touvron,https://arxiv.org/pdf/2012.12877.pdf,Transformers | FAIR
MIPHEI-ViT: Multiplex Immunofluorescence Prediction from H&E Images using ViT Foundation Models,arXiv,2025-05-15,10.48550/arXiv.2505.10294,Guillaume Balezo,https://arxiv.org/pdf/2505.10294.pdf,H&E | mIF | Transformers | Domain Adaptation and Transfer | Foundation Models | Sanofi
Spiking Manifesto,arXiv,2025-12-31,10.48550/arXiv.2512.11843,Eugene Izhikevich,https://arxiv.org/pdf/2512.11843.pdf,"SNN, Neuromorphic Architectures | Izhikevich, Eugene"
The Dragon Hatchling: The Missing Link between the Transformer and Models of the Brain,arXiv,2025-09-30,10.48550/arXiv.2509.26507,Adrian Kosowski,https://arxiv.org/pdf/2509.26507.pdf,"SNN, Neuromorphic Architectures | Transformers | Pathway"
Neuromorphic Principles for Efficient Large Language Models on Intel Loihi 2,ICLR 2025,2025-03-25,10.48550/arXiv.2503.18002,Steven Abreu,https://arxiv.org/pdf/2503.18002.pdf,"SNN, Neuromorphic Architectures | Intel"
Spiking Neural Network Feature Discrimination Boosts Modality Fusion,arXiv,2025-02-05,10.48550/arXiv.2502.10423,Katerina Maria Oikonomou,https://arxiv.org/pdf/2502.10423.pdf,"Multimodality | SNN, Neuromorphic Architectures"
Training Spiking Neural Networks with Local Tandem Learning,NeurIPS 2022,2022-10-10,10.48550/arXiv.2210.04532,Qu Yang,https://arxiv.org/pdf/2210.04532.pdf,"SNN, Neuromorphic Architectures | NUS"
Deep Learning in Spiking Phasor Neural Networks,Intel Neuromorphic Community Fall 2019 Workshop,2022-04-01,10.48550/arXiv.2204.00507,Connor Bybee,https://arxiv.org/pdf/2204.00507.pdf,"SNN, Neuromorphic Architectures | UC Berkeley"
Vector Symbolic Architectures as a Computing Framework for Emerging Hardware,,10/2022,,Denis Kleyko,https://arxiv.org/pdf/2106.05268.pdf,"SNN, Neuromorphic Architectures | UC Berkeley"
Titans: Learning to Memorize at Test Time,arXiv,2024-12-31,10.48550/arXiv.2501.00663,Ali Behrouz,https://arxiv.org/pdf/2501.00663.pdf,Titans | Google
Topological Deep Learning: Going Beyond Graph Data,arXiv,2023-05-19,10.48550/arXiv.2206.00606,Mustafa Hajij,https://arxiv.org/pdf/2206.00606.pdf,"Graph-based | Topological Deep Learning | RWTH | Miolane, Nina | Schaub, Michael"
Efficient Neuromorphic Signal Processing with Loihi 2,SiPS 2021,2021-11-05,10.48550/arXiv.2111.03746,Garrick Orchard,https://arxiv.org/pdf/2111.03746.pdf,"Intel | UC Berkeley | Sanborn, Sophia"
